,iso_code,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,hosp_patients_per_million
0,ABW,2019-10-13,0.0,0.0,0.0
1,ABW,2019-10-20,0.0,0.0,0.0
2,ABW,2019-10-27,0.0,0.0,0.0
3,ABW,2019-11-03,0.0,0.0,0.0
4,ABW,2019-11-10,0.0,0.0,0.0
5,ABW,2019-11-17,0.0,0.0,0.0
6,ABW,2019-11-24,0.0,0.0,0.0
7,ABW,2019-12-01,0.0,0.0,0.0
8,ABW,2019-12-08,0.0,0.0,0.0
9,ABW,2019-12-15,0.0,0.0,0.0
10,ABW,2019-12-22,0.0,0.0,0.0
11,ABW,2019-12-29,25.494999999999997,0.0,0.0
12,ABW,2020-01-05,161.029,0.0,0.0
13,ABW,2020-01-12,339.501,0.0,0.0
14,ABW,2020-01-19,189.208,0.0,0.0
15,ABW,2020-01-26,165.054,9.394,0.0
16,ABW,2020-02-02,46.965,9.394,0.0
17,ABW,2020-02-09,12.078,0.0,0.0
18,ABW,2020-02-16,6.710000000000001,2.684,0.0
19,ABW,2020-02-23,2.684,6.710000000000001,0.0
20,ABW,2020-03-01,0.0,0.0,0.0
21,ABW,2020-03-08,0.0,0.0,0.0
22,ABW,2020-03-15,0.0,0.0,0.0
23,ABW,2020-03-22,0.0,0.0,0.0
24,ABW,2020-03-29,0.0,0.0,0.0
25,ABW,2020-04-05,0.0,0.0,0.0
26,ABW,2020-04-12,16.104,0.0,0.0
27,ABW,2020-04-19,20.130000000000003,0.0,0.0
28,ABW,2020-04-26,12.078,0.0,0.0
29,ABW,2020-05-03,81.856,0.0,0.0
30,ABW,2020-05-10,38.916,0.0,0.0
31,ABW,2020-05-17,485.767,0.0,0.0
32,ABW,2020-05-24,4782.525,2.684,0.0
33,ABW,2020-05-31,4875.116,13.420000000000002,0.0
34,ABW,2020-06-07,4451.077,25.498,0.0
35,ABW,2020-06-14,4080.713,32.206,0.0
36,ABW,2020-06-21,4602.711,37.573,0.0
37,ABW,2020-06-28,5352.832,53.675000000000004,0.0
38,ABW,2020-07-05,4359.8279999999995,34.89,0.0
39,ABW,2020-07-12,2612.6749999999997,16.104,0.0
40,ABW,2020-07-19,1807.537,40.257,0.0
41,ABW,2020-07-26,1184.897,14.762,0.0
42,ABW,2020-08-02,1137.9279999999999,24.156,0.0
43,ABW,2020-08-09,837.345,18.788,0.0
44,ABW,2020-08-16,895.048,17.446,0.0
45,ABW,2020-08-23,760.856,30.866,0.0
46,ABW,2020-08-30,556.89,25.498,0.0
47,ABW,2020-09-06,746.096,6.710000000000001,0.0
48,ABW,2020-09-13,1103.041,0.0,0.0
49,ABW,2020-09-20,1022.527,4.026,0.0
50,ABW,2020-09-27,929.934,9.394,0.0
51,ABW,2020-10-04,1069.492,5.368,0.0
52,ABW,2020-10-11,1622.354,16.104,0.0
53,ABW,2020-10-18,3153.46,8.052,0.0
54,ABW,2020-10-25,4108.892,18.788,0.0
55,ABW,2020-11-01,3416.473,4.026,0.0
56,ABW,2020-11-08,2506.666,42.939,0.0
57,ABW,2020-11-15,2426.152,29.523,0.0
58,ABW,2020-11-22,2263.782,52.333,0.0
59,ABW,2020-11-29,1869.264,33.548,0.0
60,ABW,2020-12-06,2372.474,18.788,0.0
61,ABW,2020-12-13,2006.137,28.182000000000002,0.0
62,ABW,2020-12-20,2230.2349999999997,26.84,0.0
63,ABW,2020-12-27,2918.6279999999997,28.182000000000002,0.0
64,ABW,2021-01-03,3836.486,20.13,0.0
65,ABW,2021-01-10,4322.253,21.472,0.0
66,ABW,2021-01-17,3521.141,53.675,0.0
67,ABW,2021-01-24,3580.184,20.128,0.0
68,ABW,2021-01-31,2577.788,13.42,0.0
69,ABW,2021-02-07,1705.554,38.916,0.0
70,ABW,2021-02-14,1205.025,20.130000000000003,0.0
71,ABW,2021-02-21,937.987,28.182000000000002,0.0
72,ABW,2021-02-28,723.281,21.472,0.0
73,ABW,2021-03-07,621.298,17.446,0.0
74,ABW,2021-03-14,567.623,1.342,0.0
75,ABW,2021-03-21,602.513,0.0,0.0
76,ABW,2021-03-28,264.355,0.0,0.0
77,ABW,2021-04-04,271.063,0.0,0.0
78,ABW,2021-04-11,185.181,0.0,0.0
79,ABW,2021-04-18,152.977,0.0,0.0
80,ABW,2021-04-25,281.799,4.026,0.0
81,ABW,2021-05-02,687.0500000000001,10.736,0.0
82,ABW,2021-05-09,1870.606,4.026,0.0
83,ABW,2021-05-16,4184.039,14.762,0.0
84,ABW,2021-05-23,6854.415999999999,17.446,0.0
85,ABW,2021-05-30,7860.841,77.83,0.0
86,ABW,2021-06-06,6101.612,79.171,0.0
87,ABW,2021-06-13,4131.704,124.79599999999999,0.0
88,ABW,2021-06-20,3208.478,85.88,0.0
89,ABW,2021-06-27,2046.394,34.89,0.0
90,ABW,2021-07-04,1667.978,33.550000000000004,0.0
91,ABW,2021-07-11,1447.9080000000001,57.7,0.0
92,ABW,2021-07-18,1026.5520000000001,25.497,0.0
93,ABW,2021-07-25,1176.845,20.13,0.0
94,ABW,2021-08-01,1035.945,4.026,0.0
95,ABW,2021-08-08,892.364,6.710000000000001,0.0
96,ABW,2021-08-15,798.429,0.0,0.0
97,ABW,2021-08-22,881.626,8.052,0.0
98,ABW,2021-08-29,862.841,5.368,0.0
99,ABW,2021-09-05,1060.099,8.052,0.0
100,ABW,2021-09-12,1166.109,6.710000000000001,0.0
101,ABW,2021-09-19,1235.888,10.736,0.0
102,ABW,2021-09-26,1512.319,21.472,0.0
103,ABW,2021-10-03,2928.0209999999997,24.156,0.0
104,ABW,2021-10-10,14567.645,9.394,0.0
105,ABW,2021-10-17,43080.301,0.0,0.0
106,ABW,2021-10-24,48415.688,13.42,0.0
107,ABW,2021-10-31,25461.176,29.523,0.0
108,ABW,2021-11-07,13966.476,59.042,0.0
109,ABW,2021-11-14,5609.134,13.419,0.0
110,ABW,2021-11-21,2980.357,20.130000000000003,0.0
111,ABW,2021-11-28,1576.731,21.472,0.0
112,ABW,2021-12-05,960.799,89.909,0.0
113,ABW,2021-12-12,513.947,34.89,0.0
114,ABW,2021-12-19,425.381,8.052,0.0
115,ABW,2021-12-26,634.716,1.342,0.0
116,ABW,2022-01-02,402.567,0.0,0.0
117,ABW,2022-01-09,895.043,0.0,0.0
118,ABW,2022-01-16,1155.371,0.0,0.0
119,ABW,2022-01-23,1504.266,0.0,0.0
120,ABW,2022-01-30,1690.789,0.0,0.0
121,ABW,2022-02-06,2145.695,0.0,0.0
122,ABW,2022-02-13,2487.8779999999997,0.0,0.0
123,ABW,2022-02-20,3205.792,0.0,0.0
124,ABW,2022-02-27,4922.08,6.710000000000001,0.0
125,ABW,2022-03-06,5893.614,2.684,0.0
126,ABW,2022-03-13,7015.4439999999995,0.0,0.0
127,ABW,2022-03-20,8482.137,20.13,0.0
128,ABW,2022-03-27,9511.372000000001,28.182,0.0
129,ABW,2022-04-03,8421.755,21.472,0.0
130,ABW,2022-04-10,5870.805,5.368,0.0
131,ABW,2022-04-17,3338.641,6.710000000000001,0.0
132,ABW,2022-04-24,3742.555,16.104,0.0
133,ABW,2022-05-01,3488.935,5.368,0.0
134,ABW,2022-05-08,2883.738,0.0,0.0
135,ABW,2022-05-15,2168.507,13.420000000000002,0.0
136,ABW,2022-05-22,1841.0819999999999,5.368,0.0
137,ABW,2022-05-29,1588.808,6.710000000000001,0.0
138,ABW,2022-06-05,1180.873,2.684,0.0
139,ABW,2022-06-12,958.116,0.0,0.0
140,ABW,2022-06-19,1081.572,6.710000000000001,0.0
141,ABW,2022-06-26,327.424,2.684,0.0
142,ABW,2022-07-03,0.0,0.0,0.0
143,ABW,2022-07-10,1174.1599999999999,13.420000000000002,0.0
144,ABW,2022-07-17,912.489,12.078000000000001,0.0
145,ABW,2022-07-24,445.51,9.394,0.0
146,ABW,2022-07-31,375.732,2.684,0.0
147,ABW,2022-08-07,395.86199999999997,0.0,0.0
148,ABW,2022-08-14,417.329,6.710000000000001,0.0
149,ABW,2022-08-21,356.94599999999997,8.052,0.0
150,ABW,2022-08-28,653.5060000000001,10.736,0.0
151,ABW,2022-09-04,687.05,9.394,0.0
152,ABW,2022-09-11,688.395,2.684,0.0
153,ABW,2022-09-18,544.813,295.21999999999997,0.0
154,ABW,2022-09-25,139.558,118.088,0.0
155,ABW,2022-10-02,395.86,0.0,0.0
156,ABW,2022-10-09,738.0440000000001,0.0,0.0
157,ABW,2022-10-16,434.77500000000003,0.0,0.0
158,ABW,2022-10-23,407.936,5.368,0.0
159,ABW,2022-10-30,500.527,4.026,0.0
160,ABW,2022-11-06,265.695,0.0,0.0
161,ABW,2022-11-13,75.146,0.0,0.0
162,ABW,2022-11-20,177.132,5.368,0.0
163,ABW,2022-11-27,132.849,4.026,0.0
164,ABW,2022-12-04,120.77,0.0,0.0
165,ABW,2022-12-11,195.918,26.840000000000003,0.0
166,ABW,2022-12-18,166.394,10.736,0.0
167,ABW,2022-12-25,103.325,6.710000000000001,0.0
168,ABW,2023-01-01,77.829,2.684,0.0
169,ABW,2023-01-08,122.11,0.0,0.0
170,ABW,2023-01-15,40.256,0.0,0.0
171,ABW,2023-01-22,0.0,0.0,0.0
172,ABW,2023-01-29,0.0,0.0,0.0
173,ABW,2023-02-05,0.0,0.0,0.0
174,ABW,2023-02-12,88.565,1.342,0.0
175,ABW,2023-02-19,531.39,8.052,0.0
176,ABW,2023-02-26,0.0,0.0,0.0
177,ABW,2023-03-05,0.0,0.0,0.0
178,ABW,2023-03-12,26.838,2.684,0.0
179,ABW,2023-03-19,161.02800000000002,16.104,0.0
180,ABW,2023-03-26,0.0,0.0,0.0
181,ABW,2023-04-02,0.0,0.0,0.0
182,ABW,2023-04-09,32.206,2.684,0.0
183,ABW,2023-04-16,193.23600000000002,16.104,0.0
184,ABW,2023-04-23,0.0,0.0,0.0
185,ABW,2023-04-30,0.0,0.0,0.0
186,ABW,2023-05-07,0.0,0.0,0.0
187,ABW,2023-05-14,0.0,0.0,0.0
188,ABW,2023-05-21,0.0,0.0,0.0
189,ABW,2023-05-28,0.0,0.0,0.0
190,ABW,2023-06-04,0.0,0.0,0.0
191,ABW,2023-06-11,0.0,0.0,0.0
192,ABW,2023-06-18,0.0,0.0,0.0
193,ABW,2023-06-25,0.0,0.0,0.0
194,ABW,2023-07-02,0.0,0.0,0.0
195,ABW,2023-07-09,0.0,0.0,0.0
196,ABW,2023-07-16,0.0,0.0,0.0
197,ABW,2023-07-23,0.0,0.0,0.0
198,AFG,2019-10-13,0.0,0.0,0.0
199,AFG,2019-10-20,0.0,0.0,0.0
200,AFG,2019-10-27,0.0,0.0,0.0
201,AFG,2019-11-03,0.0,0.0,0.0
202,AFG,2019-11-10,0.0,0.0,0.0
203,AFG,2019-11-17,0.0,0.0,0.0
204,AFG,2019-11-24,0.0,0.0,0.0
205,AFG,2019-12-01,0.0,0.0,0.0
206,AFG,2019-12-08,0.015,0.0,0.0
207,AFG,2019-12-15,0.006,0.0,0.0
208,AFG,2019-12-22,0.114,0.0,0.0
209,AFG,2019-12-29,0.34099999999999997,0.0,0.0
210,AFG,2020-01-05,0.997,0.026000000000000002,0.0
211,AFG,2020-01-12,3.04,0.07,0.0
212,AFG,2020-01-19,5.47,0.191,0.0
213,AFG,2020-01-26,7.711,0.309,0.0
214,AFG,2020-02-02,9.323,0.296,0.0
215,AFG,2020-02-09,17.448999999999998,0.516,0.0
216,AFG,2020-02-16,28.989,0.757,0.0
217,AFG,2020-02-23,48.082,0.9650000000000001,0.0
